"partido";"userid";"username";"location";"texto";"coordinates"
"ptbrasil";"469696574";"Edmilson Oliveira";"São José dos Campos SP";"luiz inácio lula da silva é o maior, o melhor e o mais honesto presidente da história do";""
"ptbrasil";"806548890266779648";"Neto";"Salvador, Brasil";"o que essa galera não faz por reais e um lanche";""
"ptbrasil";"112429108";"Camila Ventura";"Rio de Janeiro";"é bom ele se esconder, pq se o pt descobrir que ele virou patrimônio, o rouba tbm";""
"ptbrasil";"3311215564";"ㅤ.Paola.";"Belorizontão";"q vergonha alheia";""
"ptbrasil";"26315683";"Joao Eduardo";"Joinville SC Brasil";"as probabilidades de que viesse a administrar o país eram poucas mesmo";""
"ptbrasil";"852546212";"flavio augusto ";"Brasília, Brasil";"sucateada pera ai mas se ela sucateou não foi por causa do governo pt e o temer era só o vice";""
"ptbrasil";"846386420";"Leo Azevedo";"Itaboraí, Brasil";"mar morto";""
"ptbrasil";"33889292";"Carlos Pantoja";"São Paulo, Brasil";"o dedos ataca novamente platéia seleta com o povo vermelho da cut e mst";""
"ptbrasil";"3181341407";"Polly";"Maceió AL Paraibana de raiz";"ô que linda é zefinha pinheiro, povo acompanhando";""
"ptbrasil";"333687095";"Andre Costa";"fortaleza ceará";"sou cearense e quero";""
"ptbrasil";"371306066";"wander vitor santana";"Santa Luzia MG Brasil";"dessa vez desceu do carro então e não chamou o povo de pobre fedido não né";""
"ptbrasil";"216443540";"Igor Soares";"Belo Horzionte MG";"que dó enganar velho é crime";""
"ptbrasil";"93830053";"Glaucia Taricano";"Brazil Rio de Janeiro";"em época de campanha lula iria dar um abraço em d zefinha mas aí lascou";""
"ptbrasil";"67387478";"Claudemir Fortuna";"Rio Grande do Sul, Brasil";"explorando a imagem da nona";""
"ptbrasil";"66456878";"Reinaldo de Freitas";"São Paulo, Brésil";"que foto, que foto";""
"ptbrasil";"3226511685";"JorjaJo";"Itapoã, Belo Horizonte";"lá as mulheres engravidam para terem bolsa família";""
"ptbrasil";"882778188769894400";"Gabriel";"Florianópolis, Brasil";"parabéns compraram o bolinho para essa comemoração";""
"ptbrasil";"209217680";"Severino Jr catador";"natal";"lamento a fala dele enaltecendo políticos do rn infelizmente não tem e faz";""
"Rede45";"43557681";"eliane dal colleto";"são paulo";"você tem filhos mãe, pai consegue explicar a eles sua existência desprezível não dá n";""
"ptbrasil";"73981674";"Sandor Mendes";"CURITIBA PR";"para ele ser patrimônio do brasil, ele precisa primeiro morrer assim como tira";""
"Rede45";"55704832";"Anderson Araujo";"São Paulo";"partido de oposição cuzao vcs acabaram tomara que o doria se candidate por outro partido vcs n merecem a";""
"Rede45";"61780767";"Vera Nimer";"São Paulo, Brasil";"bruno país mais justo apoiando o ferro no povo dessa maldita reforma da previdência vcs vão ver nas próximas eleições";""
"Rede45";"57081185";"Ricardo Gurgel";"Natal";"expulsem o dória ória";""
"Rede45";"860529640175226880";"Mercar";"Nova Iorque, USA";"toma";""
"Rede45";"92273210";"Heraldo Mello Jr";"Fortaleza, Brasil";"duro é tentar acreditar novamente em políticos do psdb";""
"Rede45";"4345356263";"Josue dos anjos";"Paulistana PI , Brasil";"onde tem petistas tem ladrão ; todos na cadeia , inclusive o bandido mor , luladrao";""
"Rede45";"803318839312261126";"Mikhail Tolstykh";"BH Brasil";"esse psdb é o maior engana trouxas do brasil kkkkkkkkkkk";""
"Rede45";"1847735034";"Glicia Gadelha";"Fortaleza, Brasil";"e a investigação do milhões vcs não cobram";""
"Rede45";"776565220324106240";"Victor Santiago";"Fortaleza, Brazil";"e farão isso dando guarida ao á";""
"Rede45";"47960274";"diulza angelica";"Santo andre";"oficial se eu for esperar o psdb mudar o brasil ferrou tenho que mudar de país";""
"Rede45";"844702622753984513";"Carla Abreu";"Juiz de Fora, Brasil";"excelente artigo";""
"Rede45";"2395182280";"Tyler";"Diamantino, Brasil";"esperando apertar a descarga para ver pt e psdb indo pra fossa";""
"Rede45";"724005859026714624";"Gleisson Lira";"Jaboatão dos Guararapes";"sim é de aécio, temer, vcs pt, pmdb, tudo farinha do mesmo saco";""
"Rede45";"51168789";"Ismark Marques";"Boa Saúde, Brasil";"oficial e vocês são diferente ahh conta outra";""
"Rede45";"193131306";"HUGO BALA";"BRASIL";"a isso lá em casa";""
"Rede45";"219120933";"BERTOLIN";"Boituva, Brasil";"falou o partido que aécio é presidente ta çerto";""
"Rede45";"41963140";"James Freitas";"São Paulo, Brasil";"spfc concordo, mas é legal investigar o e outros da também classe política deve explicações sociedade";""
"Rede45";"876424080764829696";"Aristides Bahia";"Laranjeiras, Rio de Janeiro";"se não reduzir as mordomias e privilégios dos políticos e dos funcionários públicos, daqui a anos estará tudo igual";""
"Rede45";"751197850529304576";"jocacarlos";"São Mateus, Brasil";"vocês querem uma lista daqueles do partido de vocês que foram denunciados e surrupiaram também uma gorda pr";""
"Rede45";"893192468304470016";"Ricardo Rogério";"jardim bandeirantes Norte do P";"os políticos no brasil se supera a cada dia";""
"Rede45";"524274279";"Eduardo Silva";"Teresina";"e o aécio hein e o helicoca e o dinheiro do serra no exterior e o psdb continua apoiando o gov criminoso do temer";""
"Rede45";"821696471309447169";"Pabblo Alves";"João Pessoa, Brasil";"deveriam cobrar de sues candidatos tbm,";""
"Rede45";"731065422141882368";"Leandro Viana";"São Lourenço, Brasil";"e do helicóptero cheio de pó e dos aeroportos na fazenda do tio e a privataria tucana e as contas do serra no exterior";""
"Rede45";"168022348";"Saulo";"São Paulo";"spfc é isso ae psdb fingem que tão cobrando e eu finjo que eu acredito";""
"Rede45";"109025123";"W";"Goiania";"não adiante, o povo já escolheu o lula, podem rosnar como falam de quadrilhão se fazem parte do governo t";""
